taxonName,chi2,pValue,urbanCount,nonUrbanCount
Amazona albifrons,40.13517071533555,2.369836515115011e-10,24,413
Parus cinereus commixtus,39.84697198437539,2.746596679521531e-10,17,9
Melospiza lincolnii,39.66992656389115,3.0072070386728773e-10,49,596
Acridotheres grandis,39.40642752327908,3.441622495853004e-10,14,5
Amazona,39.40642752327908,3.441622495853004e-10,14,5
Passer griseus,39.31187390708271,3.6123788775653433e-10,20,14
Streptopelia orientalis,39.25103769568749,3.7267025900362635e-10,43,64
Saxicola stejnegeri,38.7199446466751,4.891848994445167e-10,31,36
Aechmophorus occidentalis,38.636353955912334,5.105898899246437e-10,27,428
Dolichonyx oryzivorus,38.459063532931026,5.591430283905244e-10,4,234
Saltator olivascens,38.36309269240326,5.87327208267234e-10,22,18
Pycnonotus leucotis,38.275971751491774,6.141422221015557e-10,29,32
Gallinula galeata,38.09274168348873,6.746061697714032e-10,294,953
Chlidonias niger,38.090868228326514,6.752542179003603e-10,6,251
Euodice malabarica,37.89836726777115,7.452758631689968e-10,25,24
Halcyon senegalensis,37.84641616474651,7.653885912883614e-10,19,13
Columbina picui,37.84242384951419,7.669565067788242e-10,47,76
Ammodramus savannarum,37.766420917254045,7.974263811223399e-10,2,211
Setophaga pinus,37.76441548058799,7.982465731085298e-10,59,654
Lanius collurio,37.69742312087274,8.261362218894369e-10,18,352
Coloeus monedula soemmerringii,37.52274044104924,9.03533902869463e-10,11,2
Phimosus infuscatus,37.35785975132553,9.83238274969517e-10,107,261
Euphagus cyanocephalus,37.17287902461682,1.0810689645075607e-09,66,698
Fulica atra atra,36.95699205828047,1.2076384565551376e-09,29,33
Phaps chalcoptera,36.95364069117269,1.2097159930946168e-09,80,174
Regulus satrapa,36.93766835035823,1.2196666379598328e-09,47,565
Tachybaptus dominicus,36.7637132551742,1.3334930864095072e-09,18,347
Bombycilla cedrorum,36.73243780481764,1.3550585005080016e-09,181,1424
Icthyophaga leucogaster,36.72529800505164,1.360030375971271e-09,14,314
Anas undulata undulata,36.46128170006089,1.5572914461965234e-09,37,52
Dicaeum erythrorhynchos,36.391834951676124,1.6137785540372466e-09,18,12
Spizella breweri,36.34076699633209,1.6566215196083612e-09,2,204
Selasphorus rufus,36.200892408831145,1.7798903089065618e-09,19,352
Aquila chrysaetos,36.13714429971177,1.8390772522144642e-09,2,203
Colaptes auratus,36.095377034365875,1.878920681212504e-09,290,2064
Merops orientalis,35.98022236018529,1.993305182904861e-09,45,73
Junco phaeonotus,35.95736890105264,2.016821907359454e-09,1,192
Colius colius colius,35.9426982671122,2.0320645308275134e-09,16,9
Motacilla grandis,35.9426982671122,2.0320645308275134e-09,16,9
Zonotrichia leucophrys,35.93673134242111,2.0382970492251123e-09,387,2620
Troglodytes aedon,35.515657436987645,2.5300863048792286e-09,83,800
Sayornis nigricans,35.435012975204266,2.6370364424617785e-09,464,1660
Colluricincla harmonica,35.322764771269995,2.793477096140726e-09,2,199
Microcarbo africanus africanus,35.214577210134905,2.9530482298540895e-09,27,30
Loxia curvirostra,35.200652130721906,2.974239353630214e-09,23,378
Turdus pallidus,35.144706552604475,3.0609231310502434e-09,13,5
Sitta pusilla,34.948180546275566,3.3859765231767273e-09,3,207
Podiceps nigricollis,34.844640478408536,3.5709120152515713e-09,50,573
Guira guira,34.73028233878873,3.7869485601486545e-09,61,120
Tringa semipalmata,34.68078808870083,3.884462335731538e-09,166,1315
Sternula antillarum,34.58163487007472,4.087444636757676e-09,21,359
Turdus fuscater,34.56164383354958,4.129638686273939e-09,31,435
Prinia inornata,34.55596225100894,4.141709914576218e-09,53,97
Calidris tenuirostris,34.40477814600012,4.476230337975554e-09,42,67
Mycteria americana,34.367156516371175,4.56359703248766e-09,46,542
Phalacrocorax carbo hanedae,34.260433841864256,4.820838570923259e-09,18,13
Contopus sordidulus,34.16606432337252,5.060376752688747e-09,17,325
Tadorna ferruginea,33.89719920734249,5.810228195433454e-09,53,98
Calidris pugnax,33.70530272318356,6.412564691941443e-09,8,247
Setophaga dominica,33.624099339056244,6.685922540970552e-09,65,134
Zanda funerea,33.30225759521835,7.889100065095863e-09,81,185
Pavo cristatus,33.21827172735705,8.2372871355174e-09,94,228
Phoenicopterus ruber glyphorhynchus,32.917831126615,9.613743138506287e-09,10,2
Caprimulgus macrurus,32.917831126615,9.613743138506287e-09,10,2
Lonchura leucogastroides,32.81922863577674,1.0113943515787239e-08,9,1
Urile penicillatus,32.81312248034059,1.0145762926794469e-08,22,357
Circus aeruginosus,32.50271763289007,1.190259709591199e-08,18,324
Saxicola rubetra,32.405820425120766,1.2511118205281503e-08,4,204
Anarhynchus nivosus,32.39526540167703,1.2579258681107767e-08,24,370
Anhinga anhinga,32.37452955725223,1.2714208238050208e-08,80,758
Charadrius melodus,32.31481313738489,1.3111000771174527e-08,3,194
Microcarbo melanoleucos,32.17797537948458,1.4067644203772979e-08,159,462
Cinnyris venustus,32.12051612974604,1.4489904761143069e-08,15,9
Plegadis chihi,31.97725832985581,1.5598807182010507e-08,43,506
Vidua macroura,31.789728083590443,1.7179892807402646e-08,28,35
Apus affinis,31.779055649148493,1.7274554476643188e-08,20,18
Lophospiza trivirgata,31.779055649148493,1.7274554476643188e-08,20,18
Ortalis squamata,31.710457589572087,1.78955983386395e-08,21,20
Spatula discors,31.68263943646821,1.815377563398431e-08,136,1106
Platalea minor,31.44093906609172,2.055998219905821e-08,30,40
Brotogeris jugularis,31.386735610456594,2.1142035313810443e-08,62,129
Anhinga rufa,31.3021795684882,2.2083158241912286e-08,16,11
Alcedo meninting,31.3021795684882,2.2083158241912286e-08,16,11
Icterus spurius,31.267719136226976,2.2478641729599837e-08,154,447
Promerops cafer,30.997224000902758,2.5839774395599048e-08,4,197
Corvus macrorhynchos japonensis,30.95681610790317,2.638338748045616e-08,12,5
Bombycilla japonica,30.95681610790317,2.638338748045616e-08,12,5
Garrulus glandarius,30.76636508031122,2.9103896751399755e-08,141,401
Rhipidura javanica,30.76134873500393,2.9179230672296552e-08,17,13
Cacomantis merulinus,30.741545883190437,2.9478536366877365e-08,14,8
Buteo lagopus,30.696203501723893,3.017548824422995e-08,3,186
Pheucticus melanocephalus,30.505326715593966,3.329510635448732e-08,79,738
Phoenicopterus roseus,30.322517997160837,3.658538767461049e-08,13,272
Phylloscopus fuscatus,30.27728007638855,3.744868924945105e-08,22,23
Struthio camelus australis,30.240963729044843,3.815648118834387e-08,1,164
Eupsittula canicularis,30.13737542650555,4.0249881270470734e-08,5,202
Motacilla flava,29.685419017610773,5.0815608636603246e-08,3,181
Amazonetta brasiliensis,29.631177760782606,5.225760206402151e-08,51,99
Poecile carolinensis,29.3967646138452,5.8976020502108675e-08,61,612
Rhipidura albiscapa,29.353103651873663,6.031983170120287e-08,34,426
Colaptes campestris campestris,29.252431015866087,6.353646273047112e-08,16,12
Megarynchus pitangua,29.14828797337574,6.70449614798988e-08,48,91
Himantopus mexicanus,29.02583006292371,7.141962983007449e-08,345,1214
Cyanocitta stelleri ridgwayi,29.01857716676935,7.168752516239972e-08,10,3
Vanellus vanellus,29.003975202825046,7.222992602968548e-08,13,265
Jacana spinosa,28.795907969929956,8.04208478604789e-08,14,272
Podiceps occipitalis,28.737655122805975,8.287652244242791e-08,21,22
Porphyrio martinica,28.59647088367688,8.914450582892841e-08,10,238
Grus grus,28.559094564725807,9.088195633639588e-08,7,212
Streptopelia tranquebarica,28.532701002690693,9.21292728098575e-08,28,38
Ictinia mississippiensis,28.487487872618686,9.430596438408337e-08,18,302
Vireo griseus,28.406409058023186,9.833921473563432e-08,20,317
Astur melanoleucus,28.364609756136655,1.004855827494161e-07,9,2
Accipiter striatus,28.321934723275458,1.027253578913852e-07,37,441
Dendrocygna arborea,28.107491364873564,1.1476077924216214e-07,8,1
Corvus brachyrhynchos caurinus,27.99677507589349,1.2151779491527472e-07,1,153
Lesbia victoriae,27.792811266919742,1.350269016513747e-07,1,152
Larosterna inca,27.7803128253339,1.3590203452694715e-07,37,62
Monticola solitarius philippensis,27.749369853732308,1.3809317617886559e-07,15,11
Callipepla gambelii,27.745277215393212,1.383856238836992e-07,5,190
Penelope obscura,27.719373323112908,1.4025108970989205e-07,26,34
Petrochelidon pyrrhonota,27.67598380205077,1.434324138526537e-07,38,444
Acrocephalus gracilirostris,27.58557842933639,1.502951868893557e-07,22,25
Aphelocoma californica,27.579214042289905,1.5079053397051605e-07,235,1656
Campylorhynchus brunneicapillus,27.49400503738387,1.5758220904786899e-07,14,265
Setophaga coronata auduboni,27.44622709419809,1.6152368132015846e-07,121,340
Icteria virens,27.38470096895669,1.6674521278206709e-07,11,240
Limosa limosa,27.38245941157443,1.669386080981438e-07,7,206
Pycnonotus conradi,27.35814853200725,1.690505784425643e-07,16,13
Lagonosticta senegala,27.338385231279545,1.707872026295025e-07,25,32
Actitis macularius,27.241583571955054,1.795550316785679e-07,211,1513
Acridotheres tristis tristis,27.14700434123994,1.8855714869008152e-07,17,15
Calidris fuscicollis,26.977053749817202,2.0588515007848333e-07,1,148
Ciconia ciconia,26.96174718911274,2.075220505686596e-07,22,324
Tachybaptus ruficollis poggei,26.85659636916938,2.191251522649474e-07,11,5
Turdus amaurochalinus,26.78591368944683,2.272880879843494e-07,46,89
Emberiza schoeniclus,26.626563087591688,2.4682677533972013e-07,11,236
Aimophila ruficeps,26.58266946117811,2.5249860809866716e-07,4,175
Lanius borealis,26.569236220296734,2.542603914121169e-07,1,146
Lanius schach,26.442585010359522,2.71488636192653e-07,62,139
Auriparus flaviceps,26.395930224150632,2.781258789119584e-07,15,267
Meliphaga lewinii,26.379781561244027,2.8046092660548216e-07,2,155
Ardea cocoi,26.33246729086937,2.874161755147406e-07,83,209
Spizelloides arborea,26.283470249218972,2.948010848139331e-07,41,456
Hesperiphona vespertina,26.254474786701348,2.992606012414762e-07,3,164
Chlorostilbon lucidus,26.213330381231053,3.0570493635699167e-07,31,48
Charadrius hiaticula,26.161461612224066,3.1402759753255527e-07,1,144
Larus belcheri,26.094333471168415,3.2513681904861796e-07,27,38
Aramides saracura,26.06545816004531,3.300358532259761e-07,21,24
Cinnyris chalybeus chalybeus,25.81386832509798,3.7597726616533643e-07,41,76
Anas rubripes × platyrhynchos,25.681719759479623,4.026228697210717e-07,11,231
Aerodramus terraereginae,25.66069196355693,4.0703401463288916e-07,19,20
Rollandia rolland,25.624352509668125,4.147717095869176e-07,33,54
Pelecanus thagus,25.60351638127482,4.1927464663517263e-07,47,94
Rhipidura albogularis,25.55707650486331,4.2948799400860373e-07,12,7
Haliastur sphenurus,25.34604800341798,4.791330085707803e-07,1,140
Calypte costae,25.198600102781732,5.17197253728166e-07,17,276
Sporophila torqueola,25.196084780434727,5.178722369637301e-07,35,60
Haliaeetus albicilla,25.16317697894303,5.267847913427912e-07,2,149
Xanthocephalus xanthocephalus,25.151342794802712,5.300273499387241e-07,23,321
Myiarchus cinerascens,25.13212945701843,5.353344641042082e-07,36,414
Larus glaucescens,24.970480840769987,5.82148198759498e-07,34,399
Calidris virgata,24.925969921887443,5.957447327487564e-07,8,202
Ramphastos dicolorus,24.547844086650557,7.248739986023796e-07,20,23
Momotus mexicanus,24.473369219787518,7.534406560166468e-07,46,93
Yungipicus canicapillus,24.394728013107652,7.848317667865625e-07,23,30
Euphonia affinis,24.394728013107652,7.848317667865625e-07,23,30
Psittacara erythrogenys,24.394728013107652,7.848317667865625e-07,23,30
Setophaga virens,24.3466635081067,8.046599349191028e-07,20,294
Certhia americana,24.24374643141719,8.488223281071502e-07,68,621
Estrilda astrild astrild,24.12359764210401,9.034637161354489e-07,18,19
Aechmophorus clarkii,24.06585664101818,9.309645752397411e-07,7,189
Larus canus,24.04454262119955,9.413267987251284e-07,70,171
Botaurus sinensis,24.00599682190073,9.603612020918226e-07,17,17
Podiceps major,23.91350153742985,1.0076259376232456e-06,42,82
Ptilostomus afer,23.878577843135336,1.0260724470575225e-06,8,2
Morus serrator,23.839099110935297,1.0473330387122657e-06,3,152
Botaurus minutus,23.773666287480932,1.0835481479344935e-06,24,33
Phylloscopus inornatus,23.773666287480932,1.0835481479344935e-06,24,33
Podilymbus podiceps,23.759776246312597,1.091396020885511e-06,230,1586
Sterna hirundo,23.656500053960606,1.151562881308813e-06,60,565
Cyanoliseus patagonus,23.655491877290157,1.1521663320703628e-06,21,26
Agelaius tricolor,23.507224113814395,1.2444561918853253e-06,29,46
Geothlypis trichas,23.478897806418175,1.262914029310332e-06,129,992
Ramphocelus flammigerus flammigerus,23.440104654643765,1.2886385447805263e-06,7,1
Aethopyga vigorsii,23.440104654643765,1.2886385447805263e-06,7,1
Recurvirostra americana,23.410492552875258,1.3086280524716675e-06,77,672
Myiarchus crinitus,23.39426299715709,1.3197153636990777e-06,24,318
Contopus virens,23.37938086536667,1.329964961968292e-06,33,382
Larus heermanni,23.32878234142765,1.3654140257150093e-06,44,457
Apus nipalensis,23.326704003276085,1.3668901905891474e-06,20,24
Myophonus caeruleus,23.326704003276085,1.3668901905891474e-06,20,24
Aegithalos caudatus trivirgatus,23.292864563721896,1.3911515096548116e-06,12,8
Larus armenicus,23.292864563721896,1.3911515096548116e-06,12,8
Quiscalus niger,23.234562816581914,1.4339686496987251e-06,30,49
Phainopepla nitens,22.90729966081245,1.7000501465553549e-06,30,358
Anarhynchus wilsonia,22.90103430667366,1.7056005169535541e-06,1,128
Phoenicurus auroreus auroreus,22.861578231084028,1.7409740728123727e-06,10,5
Yungipicus kizuki,22.861578231084028,1.7409740728123727e-06,10,5
Pachycephala rufiventris,22.73294725136824,1.8614869439812653e-06,2,137
Buteo platypterus,22.490348056621976,2.112021559910022e-06,48,478
Ara ararauna,22.4695383829384,2.135026559453248e-06,27,42
Neochmia temporalis,22.3267698538798,2.2997821111889883e-06,10,205
Anthus trivialis,22.322047360079658,2.3054446065141463e-06,7,180
Pycnonotus goiavier,22.263799851198495,2.376447144454513e-06,31,53
Tigrisoma mexicanum,22.086500751351014,2.6063617156134343e-06,1,124
Treron phoenicopterus,21.83466600739084,2.971820549738048e-06,11,7
Limnodromus scolopaceus,21.824083663953086,2.988256064379444e-06,17,257
Linaria cannabina,21.752337635708038,3.1021165129808007e-06,11,210
Cygnus melancoryphus,21.66571518225945,3.2454020882844957e-06,37,71
Ixoreus naevius,21.629674331259537,3.3069578262833016e-06,29,343
Argya malcolmi,21.605744000722282,3.3484752956748558e-06,9,4
Sittiparus varius varius,21.605744000722282,3.3484752956748558e-06,9,4
Tachybaptus ruficollis,21.379602554225066,3.7675820542733478e-06,124,375
Turdus rufitorques,21.263769692437325,4.002249342902258e-06,12,9
Arenaria interpres,21.257773186378007,4.014789447350801e-06,81,680
Pelecanus erythrorhynchos,21.249994087553087,4.031116143690583e-06,147,1078
Riparia riparia,21.216241269414883,4.102731469951131e-06,5,157
Icterus bullockii,21.198203683042987,4.141524916433849e-06,25,312
Calidris himantopus,21.089968990169098,4.382160831251145e-06,8,182
Porphyriops melanops,21.070378206157006,4.42719323899434e-06,20,26
Hirundo javanica,21.05186864824468,4.470166885715195e-06,39,78
Hypsipetes leucocephalus,20.989197067575148,4.618804155690128e-06,30,52
Quiscalus lugubris,20.914570378508728,4.802279085375349e-06,22,31
Spilopelia chinensis tigrina,20.88201113558049,4.884603393502733e-06,14,13
Eumomota superciliosa,20.844865679252038,4.980254856770877e-06,27,44
Mareca americana,20.77646158082919,5.161344821093048e-06,240,1609
Bubo africanus africanus,20.687986491823334,5.405407826079082e-06,19,24
Larus glaucoides thayeri,20.66173906901791,5.480016521338875e-06,1,117
Coscoroba coscoroba,20.642429055473873,5.535564657349672e-06,33,61
Amazona aestiva,20.599534424911074,5.660987958679478e-06,25,39
Vireo olivaceus,20.494670692664744,5.979751316564567e-06,40,411
