taxonName,chi2,pValue,urbanCount,nonUrbanCount
Strepera graculina,182.30605378162676,1.520311282164442e-41,168,226
Agelaius phoeniceus,182.0231438580978,1.7526664060663528e-41,294,3198
Amazilia tzacatl,181.58168042982393,2.1881821484696849e-41,140,163
Ocyphaps lophotes,181.21942800836158,2.6252735802131683e-41,178,251
Pelecanus occidentalis,178.60155918843225,9.789558932025978e-41,166,2270
Tiaris olivaceus,174.31772491302164,8.437225100560973e-40,90,69
Motacilla alba,173.94627834850442,1.0169890175986326e-39,299,590
Pica serica,172.5146008919691,2.0891785985007862e-39,114,115
Campylorhynchus chiapensis,171.61934778045048,3.2771351376571264e-39,54,17
Thraupis episcopus,171.55930071351284,3.3776024764811555e-39,210,343
Corvus mellori,171.39759060718657,3.6637505243895974e-39,79,52
Tachycineta bicolor,170.75378884002524,5.064464919081089e-39,27,1107
Zonotrichia atricapilla,168.48618733713067,1.584188064177274e-38,125,1905
Alisterus scapularis,168.10521682961834,1.918754060956267e-38,132,156
Melanitta perspicillata,167.97430330924408,2.0493400949301793e-38,31,1130
Corvus corone,165.20683641618987,8.243795096838585e-38,162,228
Anas platyrhynchos domesticus,164.08718649521015,1.4478225516398885e-37,335,717
Alopochen aegyptiaca,161.71943522508266,4.764140997202299e-37,215,369
Larus michahellis,159.8752487850074,1.2047724803114377e-36,213,366
Calidris alba,155.97720378308185,8.563454108222373e-36,50,1237
Anas superciliosa,153.15873427772732,3.5365668916613826e-35,235,437
Turdus grayi,153.13954650852622,3.570880442892289e-35,176,276
Parus cinereus,152.71915471302765,4.41216340172492e-35,86,73
Chenonetta jubata,151.72528512499144,7.27557559477702e-35,259,509
Zosterops palpebrosus,150.27657846650277,1.5083656053494335e-34,50,18
Larus argentatus,148.92959702636674,2.9711854593222313e-34,184,302
Colaptes melanochloros,147.86963329170567,5.065574870525428e-34,101,105
Passer melanurus melanurus,147.22939431460537,6.991731499576229e-34,59,31
Columba livia,145.66748252155708,1.5347404284602768e-33,69,47
Psittacara leucophthalmus,141.2879700795377,1.3917888148946927e-32,54,26
Tyrannus tyrannus,138.85339921793238,4.74193892846707e-32,14,826
Melanerpes formicivorus,138.59015438857014,5.414086323658144e-32,133,1794
Pycnonotus cafer,136.42867794717438,1.6078637448637322e-31,119,153
Tyrannus vociferans,133.84159231531524,5.917328315738649e-31,240,483
Bucephala clangula,133.48829715975452,7.069820740088108e-31,105,1556
Bucephala albeola,133.23863543600172,8.017193865041e-31,177,2078
Larus smithsonianus,132.94209521291575,9.308765576619097e-31,107,1568
Nannopterum auritum,132.40271291498212,1.2214830819276991e-30,345,3200
Podiceps auritus,132.03573295084027,1.4695015703821339e-30,15,802
Psilopogon nuchalis,131.6490318697423,1.7855364420582058e-30,48,21
Phoenicurus auroreus,130.80779199995126,2.7278043198236407e-30,89,92
Icterus cucullatus,130.39393464736588,3.36015376557048e-30,186,332
Mergus merganser,129.5454881485534,5.152209313401903e-30,114,1601
Platycercus elegans,128.71391029057486,7.833320110286458e-30,230,462
Clangula hyemalis,128.4826387073592,8.801375076083453e-30,7,706
Anas acuta,127.97673625811763,1.1356635566832235e-29,119,1629
